TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.restassured.internal.mapping.Jackson2Mapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6241007637349101,202,149
io.restassured.internal.mapping.JakartaEEMapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.568359375,120,85
io.restassured.internal.mapping.JaxbMapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.568359375,120,85
io.restassured.internal.mapping.ObjectMapperDeserializationContextImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,16,16
io.restassured.internal.mapping.ObjectMapperSerializationContextImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333333,87,86
io.restassured.internal.matcher.xml.LoadFromClasspathSupport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6181732580037664,127,59
io.restassured.internal.matcher.xml.XmlDtdMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3304362610428787,353,120
io.restassured.internal.matcher.xml.XmlXsdMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6749297918619999,352,242
io.restassured.internal.multipart.MultiPartInternal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6172159925529198,393,225
io.restassured.internal.multipart.MultiPartSpecificationImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8623376623376623,241,223
io.restassured.internal.multipart.RestAssuredMultiPartEntity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6206851814651131,466,259
io.restassured.internal.support.FileReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,17,11
io.restassured.internal.support.PathSupport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6704003700502403,433,253
io.restassured.internal.support.Prettifier,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7105639441775338,292,195
