com/google/auto/common/BasicAnnotationProcessor	getSupportedAnnotationTypeElements	(Lcom/google/auto/common/BasicAnnotationProcessor$Step;)Lcom/google/common/collect/ImmutableSet;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind	$values	()[Lcom/google/auto/common/BasicAnnotationProcessor$ElementName$Kind;	GET_STATIC_FIELD	com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind::PACKAGE_NAME|Lcom/google/auto/common/BasicAnnotationProcessor$ElementName$Kind;
com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind	$values	()[Lcom/google/auto/common/BasicAnnotationProcessor$ElementName$Kind;	GET_STATIC_FIELD	com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind::TYPE_NAME|Lcom/google/auto/common/BasicAnnotationProcessor$ElementName$Kind;
com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind	<clinit>	()V	INVOKE_STATIC	com/google/auto/common/BasicAnnotationProcessor$ElementName$Kind::$values()[Lcom/google/auto/common/BasicAnnotationProcessor$ElementName$Kind;
com/google/auto/common/Visibility	$values	()[Lcom/google/auto/common/Visibility;	GET_STATIC_FIELD	com/google/auto/common/Visibility::DEFAULT|Lcom/google/auto/common/Visibility;
com/google/auto/common/Visibility	$values	()[Lcom/google/auto/common/Visibility;	GET_STATIC_FIELD	com/google/auto/common/Visibility::PRIVATE|Lcom/google/auto/common/Visibility;
com/google/auto/common/Visibility	$values	()[Lcom/google/auto/common/Visibility;	GET_STATIC_FIELD	com/google/auto/common/Visibility::PROTECTED|Lcom/google/auto/common/Visibility;
com/google/auto/common/Visibility	$values	()[Lcom/google/auto/common/Visibility;	GET_STATIC_FIELD	com/google/auto/common/Visibility::PUBLIC|Lcom/google/auto/common/Visibility;
com/google/auto/common/Visibility	<clinit>	()V	INVOKE_STATIC	com/google/auto/common/Visibility::$values()[Lcom/google/auto/common/Visibility;
