io/netty/handler/codec/dns/DnsQuery	setZ	(I)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsQuery::setZ(I)Lio/netty/handler/codec/dns/DnsQuery;
io/netty/handler/codec/dns/DnsQuery	touch	()Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsQuery::touch()Lio/netty/handler/codec/dns/DnsQuery;
io/netty/handler/codec/dns/DnsQuery	touch	()Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsQuery::touch()Lio/netty/handler/codec/dns/DnsQuery;
io/netty/handler/codec/dns/DnsQuery	touch	(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsQuery::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsQuery;
io/netty/handler/codec/dns/DnsQuery	touch	(Ljava/lang/Object;)Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsQuery::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsQuery;
io/netty/handler/codec/dns/DnsRawRecord	copy	()Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::copy()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	duplicate	()Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::duplicate()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	replace	(Lio/netty/buffer/ByteBuf;)Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::replace(Lio/netty/buffer/ByteBuf;)Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	retain	()Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::retain()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	retain	()Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::retain()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	retain	(I)Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::retain(I)Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	retain	(I)Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::retain(I)Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	retainedDuplicate	()Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::retainedDuplicate()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	touch	()Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::touch()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	touch	()Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::touch()Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsRawRecord	touch	(Ljava/lang/Object;)Lio/netty/buffer/ByteBufHolder;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsRawRecord;
