TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.threeten.bp.chrono.ChronoLocalDate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7983451457669765,480,417
org.threeten.bp.chrono.ChronoLocalDateTime,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7828869047619047,483,402
