TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.hadoop.hdfs.protocol.proto.AliasMapProtocolProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25834536043641465,6313,1821
org.apache.hadoop.hdfs.protocol.proto.EditLogProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4784320933940204,2443,1376
org.apache.hadoop.hdfs.protocol.proto.HdfsServerProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2116201499637226,16735,2957
org.apache.hadoop.hdfs.protocol.proto.InterDatanodeProtocolProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40273750639924355,3761,1554
org.apache.hadoop.hdfs.protocol.proto.JournalProtocolProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.428900073333947,5817,2768
org.apache.hadoop.hdfs.protocol.proto.NamenodeProtocolProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19568496231157806,16615,2354
org.apache.hadoop.hdfs.qjournal.protocol.QJournalProtocolProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18526695374766297,34654,3977
org.apache.hadoop.hdfs.server.balancer.Dispatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18162288405102592,2345,528
org.apache.hadoop.hdfs.server.namenode.FsImageProto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.17505501768776915,29729,3252
org.apache.hadoop.hdfs.server.namenode.ha.proto.HAZKInfoProtos,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5370820285366785,1797,1108
org.apache.hadoop.hdfs.server.namenode.snapshot.DirectorySnapshottableFeature,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5817960059293841,1139,624
org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1604416267399708,468,95
org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffListingInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6536558047032083,344,218
org.apache.hadoop.hdfs.tools.DFSAdmin,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3058856177322591,4160,1015
org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19136578152127617,1308,88
