org/apache/commons/compress/changes/ChangeSet	addAddition	(Lorg/apache/commons/compress/changes/Change;)V	INVOKE_VIRTUAL	java/lang/Object::equals(Ljava/lang/Object;)Z
org/apache/commons/compress/compressors/lz4/BlockLZ4CompressorInputStream	read	([BII)I	GET_STATIC_FIELD	org/apache/commons/compress/compressors/lz4/BlockLZ4CompressorInputStream$1::$SwitchMap$org$apache$commons$compress$compressors$lz4$BlockLZ4CompressorInputStream$State|[I
org/apache/commons/compress/compressors/snappy/SnappyCompressorInputStream	read	([BII)I	GET_STATIC_FIELD	org/apache/commons/compress/compressors/snappy/SnappyCompressorInputStream$1::$SwitchMap$org$apache$commons$compress$compressors$snappy$SnappyCompressorInputStream$State|[I
